time,obs_value,classif1.label
2019,2.23,Decile: Decile 1
2019,3.59,Decile: Decile 2
2019,5.99,Decile: Decile 3
2019,7.29,Decile: Decile 4
2019,8.28,Decile: Decile 5
2019,9.56,Decile: Decile 6
2019,10.98,Decile: Decile 7
2019,12.73,Decile: Decile 8
2019,15.73,Decile: Decile 9
2019,23.61,Decile: Decile 10
2018,2.23,Decile: Decile 1
2018,3.58,Decile: Decile 2
2018,5.96,Decile: Decile 3
2018,7.26,Decile: Decile 4
2018,8.24,Decile: Decile 5
2018,9.52,Decile: Decile 6
2018,10.93,Decile: Decile 7
2018,12.68,Decile: Decile 8
2018,15.69,Decile: Decile 9
2018,23.91,Decile: Decile 10
2017,2.32,Decile: Decile 1
2017,3.62,Decile: Decile 2
2017,5.51,Decile: Decile 3
2017,7.17,Decile: Decile 4
2017,7.95,Decile: Decile 5
2017,9.41,Decile: Decile 6
2017,11.25,Decile: Decile 7
2017,12.55,Decile: Decile 8
2017,15.49,Decile: Decile 9
2017,24.73,Decile: Decile 10
2016,3.7,Decile: Decile 1
2016,5.4,Decile: Decile 2
2016,6.36,Decile: Decile 3
2016,7.26,Decile: Decile 4
2016,8.07,Decile: Decile 5
2016,8.73,Decile: Decile 6
2016,10.3,Decile: Decile 7
2016,12.1,Decile: Decile 8
2016,14.67,Decile: Decile 9
2016,23.41,Decile: Decile 10
2015,3.12,Decile: Decile 1
2015,4.99,Decile: Decile 2
2015,6.12,Decile: Decile 3
2015,7.17,Decile: Decile 4
2015,8.09,Decile: Decile 5
2015,9.1,Decile: Decile 6
2015,10.24,Decile: Decile 7
2015,12.66,Decile: Decile 8
2015,15.04,Decile: Decile 9
2015,23.46,Decile: Decile 10
2014,2.16,Decile: Decile 1
2014,3.6,Decile: Decile 2
2014,5.25,Decile: Decile 3
2014,6.68,Decile: Decile 4
2014,8.16,Decile: Decile 5
2014,9.5,Decile: Decile 6
2014,10.64,Decile: Decile 7
2014,13.14,Decile: Decile 8
2014,16.3,Decile: Decile 9
2014,24.59,Decile: Decile 10
2013,2.28,Decile: Decile 1
2013,3.8,Decile: Decile 2
2013,5.37,Decile: Decile 3
2013,6.64,Decile: Decile 4
2013,8.02,Decile: Decile 5
2013,9.15,Decile: Decile 6
2013,10.66,Decile: Decile 7
2013,12.6,Decile: Decile 8
2013,15.86,Decile: Decile 9
2013,25.62,Decile: Decile 10
2012,1.94,Decile: Decile 1
2012,3.35,Decile: Decile 2
2012,4.91,Decile: Decile 3
2012,6.58,Decile: Decile 4
2012,8.01,Decile: Decile 5
2012,9.25,Decile: Decile 6
2012,10.8,Decile: Decile 7
2012,12.57,Decile: Decile 8
2012,16.21,Decile: Decile 9
2012,26.38,Decile: Decile 10
2011,1.61,Decile: Decile 1
2011,2.91,Decile: Decile 2
2011,4.44,Decile: Decile 3
2011,6.53,Decile: Decile 4
2011,8,Decile: Decile 5
2011,9.34,Decile: Decile 6
2011,10.94,Decile: Decile 7
2011,12.55,Decile: Decile 8
2011,16.55,Decile: Decile 9
2011,27.14,Decile: Decile 10
2010,1.6,Decile: Decile 1
2010,2.89,Decile: Decile 2
2010,4.43,Decile: Decile 3
2010,6.51,Decile: Decile 4
2010,7.98,Decile: Decile 5
2010,9.29,Decile: Decile 6
2010,10.83,Decile: Decile 7
2010,12.45,Decile: Decile 8
2010,16.51,Decile: Decile 9
2010,27.51,Decile: Decile 10
2009,1.6,Decile: Decile 1
2009,2.89,Decile: Decile 2
2009,4.39,Decile: Decile 3
2009,6.46,Decile: Decile 4
2009,7.94,Decile: Decile 5
2009,9.3,Decile: Decile 6
2009,10.95,Decile: Decile 7
2009,12.53,Decile: Decile 8
2009,16.47,Decile: Decile 9
2009,27.46,Decile: Decile 10
2008,1.6,Decile: Decile 1
2008,2.87,Decile: Decile 2
2008,4.37,Decile: Decile 3
2008,6.42,Decile: Decile 4
2008,7.9,Decile: Decile 5
2008,9.28,Decile: Decile 6
2008,10.96,Decile: Decile 7
2008,12.51,Decile: Decile 8
2008,16.43,Decile: Decile 9
2008,27.65,Decile: Decile 10
2007,1.6,Decile: Decile 1
2007,2.86,Decile: Decile 2
2007,4.34,Decile: Decile 3
2007,6.39,Decile: Decile 4
2007,7.87,Decile: Decile 5
2007,9.23,Decile: Decile 6
2007,10.89,Decile: Decile 7
2007,12.44,Decile: Decile 8
2007,16.38,Decile: Decile 9
2007,28,Decile: Decile 10
2006,1.59,Decile: Decile 1
2006,2.85,Decile: Decile 2
2006,4.31,Decile: Decile 3
2006,6.34,Decile: Decile 4
2006,7.83,Decile: Decile 5
2006,9.2,Decile: Decile 6
2006,10.88,Decile: Decile 7
2006,12.41,Decile: Decile 8
2006,16.33,Decile: Decile 9
2006,28.26,Decile: Decile 10
2005,1.59,Decile: Decile 1
2005,2.83,Decile: Decile 2
2005,4.29,Decile: Decile 3
2005,6.3,Decile: Decile 4
2005,7.78,Decile: Decile 5
2005,9.14,Decile: Decile 6
2005,10.79,Decile: Decile 7
2005,12.32,Decile: Decile 8
2005,16.27,Decile: Decile 9
2005,28.69,Decile: Decile 10
2004,1.59,Decile: Decile 1
2004,2.82,Decile: Decile 2
2004,4.25,Decile: Decile 3
2004,6.25,Decile: Decile 4
2004,7.73,Decile: Decile 5
2004,9.12,Decile: Decile 6
2004,10.83,Decile: Decile 7
2004,12.33,Decile: Decile 8
2004,16.21,Decile: Decile 9
2004,28.88,Decile: Decile 10
