descriere,CAEN
"Agricultura, vânatoare si servicii anexe",01
Silvicultura si exploatare forestiera,02
Pescuitul si acvacultura,03
Extractia carbunelui superior si inferior,05
Extractia petrolului brut si a gazelor naturale,06
Extractia minereurilor metalifere,07
Alte activitati extractive,08
Activitati de servicii anexe extractiei,09
Industria alimentara,10
Fabricarea bauturilor,11
Fabricarea produselor din tutun,12
Fabricarea produselor textile,13
Fabricarea articolelor de îmbracaminte,14
"Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie, harnasamentelor si încaltamintei; prepararea si vopsirea blanurilor",15
"Prelucrarea lemnului, fabricarea produselor din lemn si pluta, cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale împletite",16
Fabricarea hârtiei si a produselor din hârtie,17
Tiparire si reproducerea pe suporti a înregistrarilor,18
Fabricarea produselor de cocserie si a produselor obtinute din prelucrarea titeiului,19
Fabricarea substantelor si a produselor chimice,20
Fabricarea produselor farmaceutice de baza si a preparatelor farmaceutice,21
Fabricarea produselor din cauciuc si mase plastice,22
Fabricarea altor produse din minerale nemetalice,23
Industria metalurgica,24
"Industria constructiilor metalice si a produselor din metal, exclusiv masini, utilaje . si instalatii",25
Fabricarea calculatoarelor si a produselor electronice si optice,26
Fabricarea echipamentelor electrice,27
"Fabricarea de masini, utilaje si echipamente n.c.a.",28
"Fabricarea autovehiculelor de transport rutier, a remorcilor si semiremorcilor",29
Fabricarea altor mijloace de transport,30
Fabricarea de mobila,31
Alte activitati industriale n.c.a.,32
"Repararea, întretinerea si instalarea masinilor si echipamentelor",33
"Productia si furnizarea de energie electrica si termica, gaze, apa calda si aer conditionat",35
"Captarea, tratarea si distributia apei",36
Colectarea si epurarea apelor uzate,37
"Colectarea, tratarea si eliminarea deseurilor; activitati de recuperare a materialelor reciclabile",38
Activitati si servicii de decontaminare,39
Constructii de cladiri,41
Lucrari de geniu civil,42
Lucrari speciale de constructii,43
"Comert cu ridicata si cu amanuntul, întretinerea si repararea autovehiculelor si a motocicletelor",45
Comert cu ridicata cu exceptia comertului cu autovehicule si motociclete,46
"Comert cu amanuntul, cu exceptia autovehiculelor si motocicletelor",47
Transporturi terestre si transporturi prin conducte,49
Transporturi pe apa,50
Transporturi aeriene,51
Depozitare si activitati auxiliare pentru transporturi,52
Activitati de posta si de curier,53
Hoteluri si alte facilitati de cazare,55
Restaurante si alte activitati de servicii de alimentatie,56
Activitati de editare,58
"Activitati de productie cinematografica, video si de programe de televiziune; înregistrari audio si activitati de editare muzicala",59
Activitati de difuzare si transmitere de programe,60
Telecomunicatii,61
Activitati de servicii în tehnologia informatiei,62
Activitati de servicii informatice,63
"Intermedieri financiare, cu exceptia activitatilor de asigurari si ale fondurilor de pensii",64
"Activitati de asigurari, reasigurari si ale fondurilor de pensii (cu exceptia celor din sistemul public de asigurari sociale)",65
"Activitati auxiliare intermedierilor financiare, activitati de asigurare si fonduri de pensii",66
Tranzactii imobiliare,68
Activitati juridice si de contabilitate,69
"Activitati ale directiilor (centralelor), birourilor administrative centralizate; activitati de management si de consultanta în management",70
Activitati de arhitectura si inginerie; activitati de testari si analiza tehnica,71
Cercetare-dezvoltare,72
Publicitate si activitati de studiere a pietei,73
"Alte activitati profesionale, stiintifice si tehnice",74
Activitati veterinare,75
Activitati de închiriere si leasing,77
Activitati de servicii privind forta de munca,78
ctivitati ale agentiilor turistice si a tur-operatorilor; alte servicii de rezervare si asistenta,79
Activitati de investigatii si protectie,80
Activitati de peisagistica si servicii pentru cladiri,81
"Activitati de secretariat, servicii suport si alte activitati de servicii prestate în principal întreprinderilor",82
Administratie publica si aparare; asigurari sociale din sistemul public,84
Învatamânt,85
Activitati referitoare la sanatatea umana,86
"Servicii combinate de îngrijire medicala si asistenta sociala, cu cazare",87
"Activitati de asistenta sociala, fara cazare",88
Activitati de creatie si interpretare artistica,90
"Activitati ale bibliotecilor, arhivelor, muzeelor si alte activitati culturale",91
Activitati de jocuri de noroc si pariuri,92
"Activitati sportive, recreative si distractive",93
Activitati asociative diverse,94
"Reparatii de calculatoare, de articole personale si de uz gospodaresc",95
Alte activitati de servicii,96
Activitati ale gospodariilor private în calitate de angajator de personal casnic,97
ctivitati ale gospodariilor private de producere de bunuri si servicii destinate consumului propriu,98
Activitati ale organizatiilor si organismelor extrateritoriale,99
