"geo","tari"
"Austria","Austria"
"Belgium","Belgia"
"Bulgaria","Bulgaria"
"Switzerland","Elvetia"
"Cyprus","Cipru"
"Czechia","Cehia"
"Germany (until 1990 former territory of the FRG)","Germania"
"Denmark","Danemarca"
"Estonia","Estonia"
"Greece","Grecia"
"Spain","Spania"
"European Union - 27 countries (from 2020)","Media UE"
"Finland","Finlanda"
"France","Franta"
"Croatia","Croatia"
"Hungary","Ungaria"
"Ireland","Irlanda"
"Iceland","Islanda"
"Italy","Italia"
"Lithuania","Lituania"
"Luxembourg","Luxemburg"
"Latvia","Letonia"
"Malta","Malta"
"Netherlands","Olanda"
"Norway","Norvegia"
"Poland","Polonia"
"Portugal","Portugalia"
"Romania","Romania"
"Sweden","Suedia"
"Slovenia","Slovenia"
"Slovakia","Slovacia"
