geo,time,max_rate,nr_praguri
Ungaria,2011,16,1
Ungaria,2012,16,1
Ungaria,2013,16,1
Ungaria,2014,16,1
Ungaria,2015,16,1
Ungaria,2016,15,1
Ungaria,2017,15,1
Ungaria,2018,15,1
Ungaria,2019,15,1
Ungaria,2020,15,1
Ungaria,2021,15,1
Islanda,2006,23.75,1
Islanda,2007,22.75,1
Islanda,2008,22.75,1
Islanda,2009,24.1,1
Estonia,2000,26,1
Estonia,2001,26,1
Estonia,2002,26,1
Estonia,2003,26,1
Estonia,2004,26,1
Estonia,2005,24,1
Estonia,2006,23,1
Estonia,2007,22,1
Estonia,2008,21,1
Estonia,2009,21,1
Estonia,2010,21,1
Estonia,2011,21,1
Estonia,2012,21,1
Estonia,2013,21,1
Estonia,2014,21,1
Estonia,2015,20,1
Estonia,2016,20,1
Estonia,2017,20,1
Estonia,2018,20,1
Estonia,2019,20,1
Estonia,2020,20,1
Estonia,2021,20,1
Danemarca,2009,26.04,2
Danemarca,2010,18.67,2
Danemarca,2011,18.64,2
Danemarca,2012,19.65,2
Danemarca,2013,20.83,2
Danemarca,2014,21.83,2
Danemarca,2015,23.08,2
Danemarca,2016,24.08,2
Danemarca,2017,25.08,2
Danemarca,2018,26.13,2
Danemarca,2019,27.16,2
Danemarca,2020,27.11,2
Danemarca,2021,27.09,2
Ungaria,2005,38,2
Ungaria,2006,36,2
Ungaria,2007,36,2
Ungaria,2008,36,2
Ungaria,2009,36,2
Ungaria,2010,32,2
Islanda,2000,33.41,2
Islanda,2001,33.08,2
Islanda,2002,32.75,2
Islanda,2003,30.75,2
Islanda,2004,29.75,2
Islanda,2005,26.75,2
Islanda,2017,31.8,2
Islanda,2018,31.8,2
Islanda,2019,31.8,2
Irlanda,2000,44,2
Irlanda,2001,42,2
Irlanda,2002,42,2
Irlanda,2003,42,2
Irlanda,2004,42,2
Irlanda,2005,42,2
Irlanda,2006,42,2
Irlanda,2007,41,2
Irlanda,2008,41,2
Irlanda,2009,41,2
Irlanda,2010,41,2
Irlanda,2011,41,2
Irlanda,2012,41,2
Irlanda,2013,41,2
Irlanda,2014,41,2
Irlanda,2015,40,2
Irlanda,2016,40,2
Irlanda,2017,40,2
Irlanda,2018,40,2
Irlanda,2019,40,2
Irlanda,2020,40,2
Irlanda,2021,40,2
Polonia,2000,40,2
Polonia,2002,40,2
Polonia,2003,40,2
Polonia,2004,40,2
Polonia,2005,40,2
Polonia,2006,40,2
Polonia,2007,40,2
Polonia,2008,40,2
Polonia,2009,32,2
Polonia,2010,32,2
Polonia,2011,32,2
Polonia,2012,32,2
Polonia,2013,32,2
Polonia,2014,32,2
Polonia,2015,32,2
Polonia,2016,32,2
Polonia,2017,32,2
Polonia,2018,32,2
Polonia,2019,32,2
Polonia,2020,32,2
Polonia,2021,32,2
Suedia,2020,20,2
Suedia,2021,20,2
Danemarca,2000,28,3
Danemarca,2001,27.25,3
Danemarca,2002,26.5,3
Danemarca,2003,26.5,3
Danemarca,2004,26.6,3
Danemarca,2005,26.48,3
Danemarca,2006,26.48,3
Danemarca,2007,26.48,3
Danemarca,2008,26.48,3
Grecia,2013,42,3
Grecia,2014,42,3
Grecia,2015,42,3
Ungaria,2000,40,3
Ungaria,2001,40,3
Ungaria,2002,40,3
Ungaria,2003,40,3
Ungaria,2004,38,3
Islanda,2010,33,3
Islanda,2011,31.8,3
Islanda,2012,31.8,3
Islanda,2013,31.8,3
Islanda,2014,31.8,3
Islanda,2015,31.8,3
Islanda,2016,31.8,3
Islanda,2020,31.8,3
Islanda,2021,31.8,3
Olanda,2020,49.5,3
Olanda,2021,49.5,3
Norvegia,2000,29.85,3
Norvegia,2001,28.4,3
Norvegia,2002,33.2,3
Norvegia,2003,31.26,3
Norvegia,2004,31.7,3
Norvegia,2005,27.3,3
Norvegia,2006,23.8,3
Norvegia,2007,24.6,3
Norvegia,2008,25.3,3
Norvegia,2009,24.55,3
Norvegia,2010,24.55,3
Norvegia,2011,26.05,3
Norvegia,2012,25.75,3
Norvegia,2013,25.75,3
Norvegia,2014,24.95,3
Norvegia,2015,25.15,3
Polonia,2001,40,3
Suedia,2000,25,3
Suedia,2001,25,3
Suedia,2002,25,3
Suedia,2003,25,3
Suedia,2004,25,3
Suedia,2005,25,3
Suedia,2006,25,3
Suedia,2007,25,3
Suedia,2008,25,3
Suedia,2009,25,3
Suedia,2010,25,3
Suedia,2011,25,3
Suedia,2012,25,3
Suedia,2013,25,3
Suedia,2014,25,3
Suedia,2015,25,3
Suedia,2016,25,3
Suedia,2017,25,3
Suedia,2018,25,3
Suedia,2019,25,3
Slovenia,2007,41,3
Slovenia,2008,41,3
Slovenia,2009,41,3
Slovenia,2010,41,3
Slovenia,2011,41,3
Slovenia,2012,41,3
Austria,2005,50,4
Austria,2006,50,4
Austria,2007,50,4
Austria,2008,50,4
Austria,2009,50,4
Austria,2010,50,4
Austria,2011,50,4
Austria,2012,50,4
Austria,2013,50,4
Austria,2014,50,4
Austria,2015,50,4
Belgia,2020,50,4
Belgia,2021,50,4
Grecia,2002,40,4
Grecia,2003,40,4
Grecia,2004,40,4
Grecia,2005,40,4
Grecia,2006,40,4
Grecia,2007,40,4
Grecia,2008,40,4
Grecia,2009,40,4
Grecia,2016,45,4
Grecia,2017,45,4
Grecia,2018,45,4
Grecia,2019,45,4
Italia,2005,43,4
Italia,2006,43,4
Olanda,2000,60,4
Olanda,2001,52,4
Olanda,2002,52,4
Olanda,2003,52,4
Olanda,2004,52,4
Olanda,2005,52,4
Olanda,2006,52,4
Olanda,2007,52,4
Olanda,2008,52,4
Olanda,2009,52,4
Olanda,2010,52,4
Olanda,2011,52,4
Olanda,2012,52,4
Olanda,2013,52,4
Olanda,2014,52,4
Olanda,2015,52,4
Olanda,2016,52,4
Olanda,2017,52,4
Olanda,2018,51.95,4
Olanda,2019,51.75,4
Spania,2007,27.13,4
Spania,2008,27.13,4
Spania,2009,27.13,4
Spania,2010,27.13,4
Slovenia,2013,50,4
Slovenia,2014,50,4
Slovenia,2015,50,4
Slovenia,2016,50,4
Austria,2002,50,5
Austria,2003,50,5
Austria,2004,50,5
Belgia,2003,50,5
Belgia,2004,50,5
Belgia,2005,50,5
Belgia,2006,50,5
Belgia,2007,50,5
Belgia,2008,50,5
Belgia,2009,50,5
Belgia,2010,50,5
Belgia,2011,50,5
Belgia,2012,50,5
Belgia,2013,50,5
Belgia,2014,50,5
Belgia,2015,50,5
Belgia,2016,50,5
Belgia,2017,50,5
Belgia,2018,50,5
Belgia,2019,50,5
Finlanda,2007,32,5
Finlanda,2008,31.5,5
Finlanda,2009,30.5,5
Finlanda,2010,30,5
Finlanda,2011,30,5
Finlanda,2012,29.75,5
Finlanda,2016,31.75,5
Finlanda,2017,31.5,5
Finlanda,2018,31.25,5
Finlanda,2019,31.25,5
Finlanda,2020,31.25,5
Finlanda,2021,31.25,5
Franta,2006,40,5
Franta,2007,40,5
Franta,2008,40,5
Franta,2009,40,5
Franta,2010,41,5
Franta,2011,41,5
Franta,2014,45,5
Franta,2015,45,5
Franta,2016,45,5
Franta,2017,45,5
Franta,2018,45,5
Franta,2019,45,5
Franta,2020,45,5
Franta,2021,45,5
Grecia,2020,44,5
Grecia,2021,44,5
Italia,2000,45.5,5
Italia,2001,45,5
Italia,2002,45,5
Italia,2003,45,5
Italia,2004,45,5
Italia,2007,43,5
Italia,2008,43,5
Italia,2009,43,5
Italia,2010,43,5
Italia,2011,43,5
Italia,2012,43,5
Italia,2013,43,5
Italia,2014,43,5
Italia,2015,43,5
Italia,2016,43,5
Italia,2017,43,5
Italia,2018,43,5
Italia,2019,43,5
Italia,2020,43,5
Italia,2021,43,5
Portugalia,2000,40,5
Portugalia,2013,48,5
Portugalia,2014,48,5
Portugalia,2015,48,5
Portugalia,2016,48,5
Portugalia,2017,48,5
Spania,2003,29.16,5
Spania,2004,29.16,5
Spania,2005,29.16,5
Spania,2006,29.16,5
Spania,2015,22.5,5
Spania,2016,22.5,5
Spania,2017,22.5,5
Spania,2018,22.5,5
Spania,2019,22.5,5
Spania,2020,22.5,5
Slovenia,2005,50,5
Slovenia,2006,50,5
Slovenia,2017,50,5
Slovenia,2018,50,5
Slovenia,2019,50,5
Slovenia,2020,50,5
Slovenia,2021,50,5
Belgia,2002,52,6
Finlanda,2001,37,6
Finlanda,2002,36,6
Finlanda,2003,35,6
Finlanda,2004,34,6
Finlanda,2005,33.5,6
Finlanda,2006,32.5,6
Finlanda,2013,31.75,6
Finlanda,2014,31.75,6
Finlanda,2015,31.75,6
Franta,2012,45,6
Franta,2013,45,6
Grecia,2000,45,6
Grecia,2001,42.5,6
Portugalia,2001,40,6
Portugalia,2002,40,6
Portugalia,2003,40,6
Portugalia,2004,40,6
Portugalia,2005,40,6
Spania,2000,39.6,6
Spania,2001,39.6,6
Spania,2002,39.6,6
Spania,2011,23.5,6
Spania,2021,24.5,6
Slovenia,2000,50,6
Slovenia,2001,50,6
Slovenia,2002,50,6
Slovenia,2003,50,6
Slovenia,2004,50,6
Austria,2016,55,7
Austria,2017,55,7
Austria,2018,55,7
Austria,2019,55,7
Austria,2020,55,7
Austria,2021,55,7
Belgia,2000,55,7
Belgia,2001,55,7
Finlanda,2000,37.5,7
Franta,2000,53.25,7
Franta,2001,52.75,7
Franta,2002,49.58,7
Franta,2003,48.09,7
Franta,2004,48.09,7
Franta,2005,48.09,7
Portugalia,2006,42,7
Portugalia,2007,42,7
Portugalia,2008,42,7
Portugalia,2009,42,7
Portugalia,2018,48,7
Portugalia,2019,48,7
Portugalia,2020,48,7
Portugalia,2021,48,7
Spania,2012,30.5,7
Spania,2013,30.5,7
Spania,2014,30.5,7
Grecia,2011,45,8
Grecia,2012,45,8
Portugalia,2010,45.88,8
Portugalia,2011,46.5,8
Portugalia,2012,46.5,8
Grecia,2010,45,9
Austria,2001,50,11
Elvetia,2000,11.5,11
Elvetia,2001,11.5,11
Elvetia,2002,11.5,11
Elvetia,2003,11.5,11
Elvetia,2004,11.5,11
Elvetia,2005,11.5,11
Elvetia,2006,11.5,11
Elvetia,2007,11.5,11
Elvetia,2008,11.5,11
Elvetia,2009,11.5,11
Elvetia,2010,13.2,11
Elvetia,2011,13.2,11
Elvetia,2012,13.2,11
Elvetia,2013,13.2,11
Elvetia,2014,11.5,11
Elvetia,2015,11.5,11
Elvetia,2016,11.5,11
Elvetia,2017,11.5,11
Elvetia,2018,11.5,11
Elvetia,2019,11.5,11
Elvetia,2020,11.5,11
Elvetia,2021,11.5,11
Austria,2000,50,12
Luxemburg,2001,42,16
Luxemburg,2002,38,17
Luxemburg,2003,38,17
Luxemburg,2004,38,17
Luxemburg,2005,38,17
Luxemburg,2006,38,17
Luxemburg,2007,38,17
Luxemburg,2008,38,17
Luxemburg,2009,38,17
Luxemburg,2010,38,17
Luxemburg,2000,46,18
Luxemburg,2011,39,18
Luxemburg,2012,39,18
Luxemburg,2013,40,19
Luxemburg,2014,40,19
Luxemburg,2015,40,19
Luxemburg,2016,40,19
Luxemburg,2017,38,19
Luxemburg,2018,38,19
Luxemburg,2019,38,19
Luxemburg,2020,38,19
Luxemburg,2021,38,19
Letonia,2000,25,1
Letonia,2001,25,1
Letonia,2002,25,1
Letonia,2003,25,1
Letonia,2004,25,1
Letonia,2005,25,1
Letonia,2006,25,1
Letonia,2007,25,1
Letonia,2008,25,1
Letonia,2009,23,1
Letonia,2010,26,1
Letonia,2011,25,1
Letonia,2012,25,1
Letonia,2013,24,1
Letonia,2014,24,1
Letonia,2015,23,1
Letonia,2016,23,1
Letonia,2017,23,1
Letonia,2018,23,1
Norvegia,2016,24.25,5
Norvegia,2017,24.07,5
Norvegia,2018,23.95,5
Norvegia,2019,24.05,5
Norvegia,2020,24.65,5
Norvegia,2021,23.35,5
Lituania,2000,33,1
Lituania,2001,33,1
Lituania,2002,33,1
Lituania,2003,33,1
Lituania,2004,33,1
Lituania,2005,33,1
Lituania,2006,29.975342,1
Lituania,2007,27,1
Lituania,2008,24,1
Lituania,2009,15,1
Lituania,2010,15,1
Lituania,2011,15,1
Lituania,2012,15,1
Lituania,2013,15,1
Lituania,2014,15,1
Lituania,2015,15,1
Lituania,2016,15,1
Lituania,2017,15,1
Lituania,2018,15,1
Lituania,2019,27,2
Lituania,2020,32,2
Lituania,2021,32,2
Letonia,2019,31.4,3
Letonia,2020,31.4,3
Letonia,2021,31,3
